course_id,title,num_inst,in_master,master_status,institutions
NGR5140,PATHOPHYSIOLOGY ACROSS THE LIFESPAN,2,no,,FSU;UWF
NGR5888,HEALTHCARE QUALITY AND SAFETY IN PROFESSIONAL NURSING PRACTICE,2,no,,FSU;UWF
NGR6605,PRIMARY CARE 2: FOUNDATIONS OF ADVANCED NURSING PRACTICE,2,no,,FAU;UWF
NGR6605L,PRIMARY CARE 2 PRACTICUM: FOUNDATIONS OF ADVANCED NURSING PRACTICE,2,no,,FAU;UWF
NGR6710L,CLINICAL SPECIALTY PRACTICUM FOR THE NURSE EDUCATOR,2,no,,FIU;UWF
NGR6728,NURSING LEADERSHIP I SEMINAR,2,no,,FNU;UWF
NGR6729,NURSING LEADERSHIP II SEMINAR,2,no,,UNF;UWF
NGR6734C,NURSING MANAGEMENT AND LEADERSHIP PROJECT,2,no,,UNF;UWF
NGR6872,NURSING INFORMATION MANAGEMENT,2,no,,FGCU;UWF
OCB3108L,FIELD STUDIES IN MARINE SCIENCE,2,yes,queued,UNF;UWF
OCE4905,DIRECTED STUDY,2,no,,FSU;UWF
PAD3905,DIRECTED STUDY,2,no,,UCF;UWF
PAD5146,THE NONPROFIT PROFESSION,2,no,,UCF;UWF
PAD5434,LEADERSHIP IN SUSTAINABILITY,2,no,,FNU;UWF
PAD5855,CONTRACT PLANNING AND FORMULATION,2,no,,UCF;UWF
PAD6041,PUBLIC SERVICE ETHICS,2,no,,USF;UWF
PAD6206,FUNDRAISING FOR NONPROFITS,2,no,,FAU;UWF
PAD6275,POLITICAL ECONOMY FOR PUBLIC MANAGERS,2,no,,USF;UWF
PAD6971,THESIS,2,no,,UCF;UWF
PAS2054,INTRODUCTION TO THE PA PROFESSION (L),2,yes,queued,FSU;UWF
PCB2905,DIRECTED STUDY,2,no,,UCF;UWF
PCB4905,DIRECTED STUDY,2,no,,FAU;UWF
PCB5204C,CELL PHYSIOLOGY,2,no,,FAMU;UWF
PCB5256,DEVELOPMENTAL BIOLOGY,2,no,,USF;UWF
PCB5317C,MARINE ECOLOGY,2,no,,FAMU;UWF
PCB5727,COMPARATIVE ANIMAL PHYSIOLOGY,2,no,,FAMU;UWF
PCB6905,DIRECTED STUDY,2,no,,FAU;UWF
PCO2905,DIRECTED STUDY,2,no,,UCF;UWF
PCO6206,ETHICAL AND PROFESSIONAL ISSUES IN COUNSELING,2,no,,FIU;UWF
PCO6278,MULTICULTURAL COUNSELING,2,no,,UF;UWF
PEM3905,DIRECTED STUDY,2,no,,UCF;UWF
PEN2123,SWIMMING III,2,yes,queued,IRSC;UWF
PET3344C,ATHLETIC COACHING METHODS,2,yes,queued,TCJ;UWF
PET3471,SPORT OFFICIATING,2,yes,queued,USF;UWF
PET3905,DIRECTED STUDY,2,no,,UCF;UWF
PET4434,YOUTH SPORT PEDAGOGY,2,yes,queued,USF;UWF
PET4820,ADOLESCENT SPORT PEDAGOGY,2,yes,queued,USF;UWF
PET4940C,INTERNSHIP,2,no,,KU;UWF
PET5389C,APPLIED PHYSIOLOGY IN MUSCULAR DEVELOPMENT,2,no,,FSU;UWF
PET6706,ANALYSIS OF RESEARCH IN PHYSICAL EDUCATION,2,no,,USF;UWF
PET6905,DIRECTED STUDY,2,no,,FAU;UWF
PGY3905,DIRECTED STUDY,2,no,,UCF;UWF
PGY4905,DIRECTED STUDY,2,no,,FAMU;UWF
PGY4940C,INTERNSHIP,2,no,,FIU;UWF
